Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Disclaimers (product.metafields.custom.disclaimers),ISBN (Media) (product.metafields.custom.med_isbn),SpecficationXX (product.metafields.custom.specficationxx),Vintage (product.metafields.custom.vintage),Art style (product.metafields.shopify.art-style),Book cover type (product.metafields.shopify.book-cover-type),Color (product.metafields.shopify.color-pattern),Compatible string instrument (product.metafields.shopify.compatible-string-instrument),Condition (product.metafields.shopify.condition),Dispenser type (product.metafields.shopify.dispenser-type),Fastener finish (product.metafields.shopify.fastener-finish),Genre (product.metafields.shopify.genre),Handle material (product.metafields.shopify.handle-material),Hardware material (product.metafields.shopify.hardware-material),Instrument accessory material (product.metafields.shopify.instrument-accessory-material),Instrument material (product.metafields.shopify.instrument-material),Item condition (product.metafields.shopify.item-condition),Manufacturer type (product.metafields.shopify.manufacturer-type),Material (product.metafields.shopify.material),Media access (product.metafields.shopify.media-access),Media theme (product.metafields.shopify.media-theme),Model train accessory type (product.metafields.shopify.model-train-accessory-type),Model train theme (product.metafields.shopify.model-train-theme),Molding application (product.metafields.shopify.molding-application),Music genre (product.metafields.shopify.music-genre),Nut form (product.metafields.shopify.nut-form),Style (product.metafields.shopify.style),Suitable for material type (product.metafields.shopify.suitable-for-material-type),Target audience (product.metafields.shopify.target-audience),Washer form (product.metafields.shopify.washer-form),Diameter of Arbor (product.metafields.specs.diameter_of_arbor),Diameter of Loop (product.metafields.specs.diameter_of_loop),Inner Connection Type (product.metafields.specs.inner_connection_type),Length (product.metafields.specs.length),Outer Connection Type (product.metafields.specs.outer_connection_type),Thickness (product.metafields.specs.thickness),Width (product.metafields.specs.width),Tools_Used (product.metafields.thephonographshop.tools_used),Applications (product.metafields.tps.applications),Components (product.metafields.tps.components),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
standard-talking-machine-x-second-pinion-1000cp,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/MOV-2ND-PN-STM-1000CP-R_2.jpg?v=1718232454,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
standard-talking-machine-x-second-pinion-1000cp,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/MOV-2ND-PN-STM-1000CP-R_3.jpg?v=1718232459,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pillard-ratchet-1049pf-certified-original,"Pillard Ratchet (1049PF) ""Certified Original""","<p>Ratchet for:</p>
<p>30-R</p>
<p><strong>Dimensions</strong></p>
<p>Length Overall - 9/16""<br>Diameter of Gear - 9/16""<br>Thickness of Gear - 1/4""<br>Number of Teeth - 8<br>Diameter of Hub-31/64""<br>Width of Hub - 21/64""<br>Diameter of Large Hole - 1/8""<br>Diameter of Small Hole - 7/64""<br>Inside Diameter - 5/16""<br>Material - Steel</p>
<!---->",The Phonograph Shop,Uncategorized,Ratchets,Original Parts,TRUE,Title,Default Title,,,,,,,,WND-RAT-PIL-1049PF-O,17.86019957,shopify,0,deny,manual,11.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/WND-RAT-PIL-1049PF-O_1.jpg?v=1717377016,1,,FALSE,,,,,,,,,,,,,,,,,Certified Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,6,active
pillard-ratchet-1049pf-certified-original,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/WND-RAT-PIL-1049PF-O_2.jpg?v=1717377024,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pillard-ratchet-1049pf-certified-original,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/WND-RAT-PIL-1049PF-O_3.jpg?v=1717377031,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pillard-ratchet-pin-1053pf-certified-original,"Pillard Ratchet Pin (1053PF) ""Certified Original""","<p>Ratchet Pin for:</p>
<p>30-R<br>30-S<br>30-SS<br>30-DD</p>
<p><strong>Dimensions</strong></p>
<p>Length - 15/16""<br>Diameter Large End - ~1/8""<br>Diameter Small End - ~7/64""<br>Material - Steel<br>Tapered</p>
<!---->",The Phonograph Shop,Uncategorized,Ratchet Pins,Original Parts,TRUE,Title,Default Title,,,,,,,,WND-RAT-PN-PIL-1053PF-O,3,shopify,1,deny,manual,0.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/WND-RAT-PIN-PIL-1053PF-O_1.jpg?v=1717369802,1,,FALSE,,,,,,,,,,,,,,,,,Certified Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,0.5,active
pillard-ratchet-pawl-stud-washer-1052pf-certified-original,"Pillard Ratchet Pawl Stud Washer (1052PF) ""Certified Original""","<p>Ratchet Pawl Stud Washer for:</p>
<p>30-R<br>30-S<br>30-SS<br>30-DD</p>
<p><strong>Dimensions</strong></p>
<p>Diameter - 39/64""<br>Thickness - 1/32""<br>Inside Diameter - 23/64""<br>Material - Steel</p>
<!---->",The Phonograph Shop,Uncategorized,Ratchet Pawl Stud Washers,Original Parts,TRUE,Title,Default Title,,,,,,,,WND-RAT-PWL-ST-WSH-PIL-1052PF-O,3,shopify,13,deny,manual,0.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/WND-RAT-PWL-ST-WSH-PIL-1052PF-O_1.jpg?v=1717368951,1,,FALSE,,,,,,,,,,,,,,,,,Certified Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,0.5,active
pillard-ratchet-pawl-stud-1051pf-certified-original,"Pillard Ratchet Pawl Stud (1051PF) ""Certified Original""","<p>Ratchet Pawl Stud for:</p>
<p>30-R<br>30-S<br>30-SS</p>
<p><strong>Dimensions</strong></p>
<p>Diameter of Head - 15/32""<br>Thickness of Head (domed) - 1/8""<br>Diameter of Shank - 11/32""<br>Width of Shank - 7/32""<br>Diameter of Threads - 29/64""<br>Length of Threads - ~1/2""<br>Threads - M7 x 1.0<br>Material - Steel</p>
<!---->",The Phonograph Shop,Uncategorized,Ratchet Pawl Screws/Studs,Original Parts,TRUE,Title,Default Title,,,,,,,,WND-RAT-PWL-ST-PIL-1051PF-O,6.236895088,shopify,11,deny,manual,3.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/WND-RAT-PWL-ST-PIL-1051PF-O_1.jpg?v=1717367330,1,,FALSE,,,,,,,,,,,,,,,,,Certified Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,2,active
pillard-ratchet-pawl-stud-1051pf-certified-original,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/WND-RAT-PWL-ST-PIL-1051PF-O_2.jpg?v=1717367339,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pillard-ratchet-pawl-1050pf-certified-original,"Pillard Ratchet Pawl (1050PF) ""Certified Original""","<p>Ratchet Pawl for:</p>
<p>30-R<br>30-S<br>30-SS</p>
<p><strong>Dimensions</strong></p>
<p>Length Overall - ~1 5/32""<br>Thickness - 3/16""<br>Diameter of Wind Shaft Hole - 11/32""<br>Diameter of Pin - 5/64""<br>Lenth of Pin - ~31/64""<br>Material - Steel<br></p>
<!---->",The Phonograph Shop,Uncategorized,Ratchet Pawls,Original Parts,TRUE,Title,Default Title,,,,,,,,WND-RAT-PWL-PIL-1050PF-O,380,shopify,12,deny,manual,9.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/WND-RAT-PWL-PIL-1050PF-O_1.jpg?v=1717365537,1,,FALSE,,,,,,,,,,,,,,,,,Certified Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,5,active
pillard-ratchet-pawl-1050pf-certified-original,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/WND-RAT-PWL-PIL-1050PF-O_2.jpg?v=1717365546,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pillard-ratchet-pawl-1050pf-certified-original,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/WND-RAT-PWL-PIL-1050PF-O_3.jpg?v=1717365556,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
victor-governor-bearing-15697wn-certified-original-1,"Victor Governor Bearing (15697WN) ""Certified Original""","<p>Governor Bearing for:</p>
<p>VV-1-1<br>VV-1-2<br>VV-1-5<br>VV-1-6<br>VV-1-7</p>
<p><strong>Dimensions</strong></p>
<p>Length - 17/32""<br>Diameter - *3/16""<br>Diameter Hole - 3/32""<br>Material Nickeled Steel</p>
<!---->",The Phonograph Shop,Uncategorized,Governor Bearings,,TRUE,Title,Default Title,,,,,,,,GOV-BRNG-VIC-15697WN-O,3.6,shopify,2,deny,manual,3.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/GOV-BRNG-VIC-15696WN-O_1.jpg?v=1717204367,1,,FALSE,,,,,,,,,,,,,,,,,Certified Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,2,active
victor-governor-bearing-15697wn-certified-original-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/GOV-BRNG-VIC-15696WN-O_2.jpg?v=1717204376,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
victor-governor-bearing-15697wn-certified-original-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/GOV-BRNG-VIC-15696WN-O_3.jpg?v=1717204383,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
victor-governor-bearing-15697wn-certified-original,"Victor Governor Bearing (15697WN) ""Certified Original""","<p>Governor Bearing for:</p>
<p>VV-1-1<br>VV-1-2<br>VV-1-5<br>VV-1-6<br>VV-1-7</p>
<p><strong>Dimensions</strong></p>
<p>Length - 17/32""<br>Diameter - *3/16""<br>Diameter Hole - 3/32""<br>Material Nickeled Steel</p>
<!---->",The Phonograph Shop,Uncategorized,Governor Bearings,,TRUE,Title,Default Title,,,,,,,,GOV-BRNG-VIC-15697WN-O,3.6,shopify,2,deny,manual,3.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/GOV-BRNG-VIC-15697WN-O_1.jpg?v=1717203315,1,,FALSE,,,,,,,,,,,,,,,,,Certified Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,2,active
victor-governor-bearing-15697wn-certified-original,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/GOV-BRNG-VIC-15697WN-O_2.jpg?v=1717203323,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
victor-governor-bearing-15697wn-certified-original,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/GOV-BRNG-VIC-15697WN-O_3.jpg?v=1717203331,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
victor-governor-bearing-grooved-15116wn-certified-original,"Victor Governor Bearing [Grooved] (15116WN) ""Certified Original""","<p>Governor Bearing for:</p>
<p>VV-35<br>VV-Consolette<br>VV-Colony<br>VV-1-4<br>VV-4-1</p>
<p><strong>Dimensions</strong></p>
<p>Length - 13/32""<br>Diameter - ~1/4""<br>Diameter Hole - 3/32""<br>Material - Nickeled Steel</p>
<p>Groove Mid-Way Between Ends</p>
<!---->",The Phonograph Shop,Uncategorized,Governor Bearings,,TRUE,Title,Default Title,,,,,,,,,3.6,shopify,1,deny,manual,3.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/GOV-BRNG-VIC-15116WN-O_1.jpg?v=1717201874,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,2,active
victor-governor-bearing-grooved-15116wn-certified-original,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/GOV-BRNG-VIC-15116WN-O_2.jpg?v=1717201882,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
victor-governor-bearing-grooved-15116wn-certified-original,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/GOV-BRNG-VIC-15116WN-O_3.jpg?v=1717201890,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
victor-governor-bearing-15115wn-certified-original,"Victor Governor Bearing (15115WN) ""Certified Original""","<p>Governor Bearing for:</p>
<p>VV-35<br>VV-Consolette<br>VV-Colony<br>VV-1-4<br>VV-4-1</p>
<p><strong>Dimensions</strong></p>
<p>Length - 19/32""<br>Outside Diameter - ~1/4""<br>Material - Nickeled Steel</p>
<!---->",The Phonograph Shop,Uncategorized,Governor Bearings,,TRUE,Title,Default Title,,,,,,,,GOV-BRNG-VIC-15115WN-O,3.6,shopify,1,deny,manual,3.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/GOV-BRNG-VIC-15115WN-O_1.jpg?v=1717200595,1,,FALSE,,,,,,,,,,,,,,,,,Certified Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,2,active
victor-governor-bearing-15115wn-certified-original,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/GOV-BRNG-VIC-15115WN-O_2.jpg?v=1717200604,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
victor-governor-bearing-15115wn-certified-original,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/GOV-BRNG-VIC-15115WN-O_3.jpg?v=1717200613,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edison-governor-bearing-grooved-1632pf-certified-original,"Edison Governor Bearing [Grooved] (1632PF) ""Certified Original""","<p>Governor Bearing for:</p>
<p>Amberola B-VI<br>Amberola C-VI<br>Amberola D-X<br>Fireside Model A<br>Standard Model B<br>Standard Model D<br>Others</p>
<p><strong>Dimensions</strong></p>
<p>Length - 21/32""<br>Diameter - 3/16""<br>Groove to End - 3/64""<br>ID of Hole - 0.062""<br>Material - Steel</p>
<!---->",The Phonograph Shop,Uncategorized,Governor Bearings,,TRUE,Title,Default Title,,,,,,,,GOV-BRNG-EDN-1632PF-O,0.102058283,shopify,40,deny,manual,3.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/GOV-BRNG-EDN-1632PF-O_1.jpg?v=1717190071,1,,FALSE,,,,,,,,,,,,,,,,,Certified Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,2,active
edison-governor-bearing-grooved-1632pf-certified-original,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/GOV-BRNG-EDN-1632PF-O_2.jpg?v=1717190080,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edison-governor-bearing-grooved-1632pf-certified-original,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/GOV-BRNG-EDN-1632PF-O_3.jpg?v=1717190085,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aeolian-governor-bearing-gl68pf-certified-original,Aeolian Governor Bearing (GL68PF-O),"<p>Governor Bearing for:</p>
<p>Aeolian Motors</p>
<p><strong>Dimensions</strong></p>
<ul>
<li>Length: ~11/16""</li>
<li>Diameter: 5/16""</li>
<li>Diameter of Hole: 1/16""</li>
<li>Drive Type: Slotted (for adjustments)</li>
<li>Material: Steel</li>
</ul>
<!---->",The Phonograph Shop,Uncategorized,Governor Bearings,Original Parts,TRUE,Title,Default Title,,,,,,,,GOV-BRNG-AEO-GL68PF-O,4,shopify,4,deny,manual,3.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/GOV-BRNG-AEO-GL68PF-O_1.jpg?v=1717179393,1,,FALSE,,,,,,,,,,,,,,,,,Certified Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,2,active
aeolian-governor-bearing-gl68pf-certified-original,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/GOV-BRNG-AEO-GL68PF-O_2.jpg?v=1717179398,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aeolian-governor-bearing-gl68pf-certified-original,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/GOV-BRNG-AEO-GL68PF-O_3.jpg?v=1717179404,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aeolian-governor-bearing-gl67pf-certified-original,Aeolian Governor Bearing (GL67PF-O),"<p>Governor Bearing for:</p>
<p>Aeolian Motors</p>
<p><strong>Dimensions</strong></p>
<ul>
<li>Length: ~15/32""</li>
<li>Diameter: 5/16""</li>
<li>Diameter of Hole: 1/16""</li>
<li>Drive Type: Slotted (for adjustments)</li>
<li>Material: Steel</li>
<li>Slanted on one side</li>
</ul>
<!---->",The Phonograph Shop,Uncategorized,Governor Bearings,Original Parts,TRUE,Title,Default Title,,,,,,,,GOV-BRNG-AEO-GL67PF-O,3.6,shopify,3,deny,manual,3.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/GOV-BRNG-AEO-GL67PF-O_1.jpg?v=1717173478,1,,FALSE,,,,,,,,,,,,,,,,,Certified Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,1.5,active
aeolian-governor-bearing-gl67pf-certified-original,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/GOV-BRNG-AEO-GL67PF-O_2.jpg?v=1717173483,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aeolian-governor-bearing-gl67pf-certified-original,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/GOV-BRNG-AEO-GL67PF-O_3.jpg?v=1717173487,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aeolian-governor-friction-gl581wn-certified-original,Aeolian Governor Friction (GL581WN-O),"<p>Governor Friction for:</p>
<p>Aeolian Motors</p>
<p><strong>Dimensions</strong></p>
<ul>
<li>Diameter of Friction Disc: ~1 7/64""</li>
<li>Thickness of Friction Disc: 1/16""</li>
<li>Diameter of Collar: 1/2""</li>
<li>Width of Collar: 1/4""</li>
<li>Diameter of Screw Holes (3): 1/16""</li>
<li>Threads of Screw Holes: 1-64</li>
<li>Diameter of Shaft: 5/16""</li>
<li>Length of Shaft: ~21/32""</li>
<li>Inside Diameter: ~15/64""</li>
<li>Material: Steel</li>
</ul>
<!---->",The Phonograph Shop,Uncategorized,Governor Frictions,Original Parts,TRUE,Title,Default Title,,,,,,,,GOV-FRIC-AEO-GL581WN-O,16.72621864,shopify,4,deny,manual,7.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/GOV-FRIC-AEO-GL581WN-O_1.jpg?v=1717167948,1,,FALSE,,,,,,,,,,,,,,,,,Certified Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,4,active
aeolian-governor-friction-gl581wn-certified-original,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/GOV-FRIC-AEO-GL581WN-O_2.jpg?v=1717167953,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aeolian-governor-friction-gl581wn-certified-original,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/GOV-FRIC-AEO-GL581WN-O_3.jpg?v=1717167957,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
victor-governor-bearing-3306wn-certified-original,"Victor Governor Bearing (3306WN) ""Certified Original""","<p>Governor Bearing for:</p>
<p>VV-IV<br>VV-VI<br>VV-VIII<br>VV-IX<br>VV-X<br>VV-XI<br>VV-XIV<br>VV-XVI<br>VV-XXV<br>VE-XVI<br>VE-XVIII</p>
<p><strong>Dimensions</strong></p>
<p>Length - 19/32""<br>Diameter - 3/16""<br>Diameter Hole - 3/32""<br>Material - Steel</p>
<p>Eventually superseded by 4362WN</p>
<!---->",The Phonograph Shop,Uncategorized,Governor Bearings,,TRUE,Title,Default Title,,,,,,,,GOV-BRNG-VIC-3306WN-O,3.6,shopify,36,deny,manual,3.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/GOV-BRNG-VIC-3306WN-O_1.jpg?v=1717114123,1,,FALSE,,,,,,,,,,,,,,,,,Certified Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,2,active
victor-governor-bearing-3306wn-certified-original,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/GOV-BRNG-VIC-3306WN-O_2.jpg?v=1717114127,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
victor-governor-bearing-3306wn-certified-original,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/GOV-BRNG-VIC-3306WN-O_3.jpg?v=1717114132,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
victor-ratchet-pawl-18759cp-certified-original,"Victor Ratchet Pawl (18759CP) ""Certified Original""","<p>Ratchet Pawl for:</p>
<p>VV-1-90<br>VV-2-30<br>VV-2-60</p>
<p><strong>Dimensions</strong></p>
<p>Length - ~1 7/64""<br>Thickness - 1/8""<br>Diameter of Hole - 3/16""<br>Material - Copper Plated Steel </p>
<p>Copper may be worn off partially or completely</p>
<!---->",The Phonograph Shop,Uncategorized,Ratchet Pawls,,TRUE,Title,Default Title,,,,,,,,WND-RAT-PWL-VIC-18759CP-O,0,shopify,5,deny,manual,15.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/WND-RAT-PWL-VIC-18759CP-O_1.jpg?v=1717110098,1,,FALSE,,,,,,,,,,,,,,,,,Certified Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,8,active
victor-ratchet-pawl-18759cp-certified-original,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/WND-RAT-PWL-VIC-18759CP-O_2.jpg?v=1717110104,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
victor-ratchet-pawl-18759cp-certified-original,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/WND-RAT-PWL-VIC-18759CP-O_3.jpg?v=1717110112,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
victor-regulating-shaft-coupling-set-screw-4544wn-certified-original-copy,Victor Regulating Shaft Coupling Set Screw (4544WN),"<p>Regulating Shaft Coupling Set Screw for:</p>
<p>Used Generally</p>
<p><strong>Dimensions</strong></p>
<p>Length - 9/32""<br>Diameter - 9/64""<br>Length Threads - 13/64""<br>Threads - <br>Material - Steel</p>",thephonographshop,Hardware > Hardware Accessories > Hardware Fasteners > Screws,Set Screws,,TRUE,Title,Default Title,,,,,,,,REG-SHFT-CPLNG-SS-VIC-4544WN-R,1.6,shopify,0,deny,manual,0.59,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/products/REG-SS-VIC-4544WN-O.jpg?v=1671832006,1,,FALSE,,,,,,,,,,,,,,,,,Reproduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,0.3,active
victor-taper-tube-ball-retainer-4141wn-certified-original,"Victor Taper Tube Ball Retainer (4141WN) ""Certified Original""","<p>Taper Tube Ball Retainer for:</p>
<p>VIC-0<br>VIC-1<br>VIC-2<br>VV-IV<br>VV-VI<br>VV-VIII<br>VV-50</p>
<p><strong>Dimensions</strong></p>
<p>Diameter - 1 33/64""<br>Inside Diameter - 1 7/32""<br>Thickness - 3/64""<br>Material - Nickeled Steel</p>
<p>Capacity five balls</p>
<!---->",The Phonograph Shop,Uncategorized,Retaining Rings,,TRUE,Title,Default Title,,,,,,,,ARM-SB-RTNR-VIC-4141WN-O,3.6,shopify,0,deny,manual,6.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/ARM-SB-RTNR-VIC-4141WN-O_1.jpg?v=1717027351,1,,FALSE,,,,,,,,,,,,,,,,,Certified Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,3.5,active
